BaseFreq,RunFreq,AdjFreq,I,P,Var1,Var2,Var3,Var4,Var5
1900,1900,0,172,-109,-111,1,22,23,0,
1900,1900,0,159,-109,-113,2,22,23,0,
1900,1900,0,121,-50,-66,3,22,23,0,
1900,1900,0,258,186,116,4,22,23,0,
1900,1900,0,327,401,388,5,22,23,0,
1900,1900,0,312,405,388,6,22,23,0,
1900,1900,0,220,305,313,7,22,23,0,
1900,1900,0,169,202,196,8,22,23,0,
1900,1900,0,121,79,77,9,22,23,0,
1900,1900,0,124,-5,-5,10,22,23,0,
1900,1900,0,119,12,13,11,22,23,0,
1900,1900,0,248,201,202,12,22,23,0,
1900,1900,0,248,201,202,12,22,23,0,
1900,1900,0,352,407,409,13,22,23,0,
1900,1900,0,335,438,442,14,22,23,0,
1900,1900,0,333,439,437,15,22,23,0,
1900,1900,0,316,417,413,16,24,23,0,
1900,1900,0,293,385,386,17,24,23,0,
1900,1900,0,279,363,360,18,24,23,0,
1900,1900,0,228,300,300,19,24,23,0,
1900,1900,0,160,194,194,20,24,23,0,
1900,1900,0,119,59,57,21,24,23,0,
1900,1900,0,126,-20,-20,22,24,23,0,
1900,1900,0,150,-69,-70,0,24,23,0,
1900,1900,0,172,-110,-109,1,24,23,0,
1900,1900,0,161,-113,-109,2,24,23,0,
1900,1900,0,129,-69,-50,3,24,23,0,
1900,1900,0,183,97,186,4,24,23,0,
1900,1900,0,354,394,401,5,24,23,0,
1900,1900,0,282,383,405,6,24,23,0,
1900,1900,0,242,317,305,7,24,23,0,
1900,1900,0,158,197,202,8,24,23,0,
1900,1900,0,158,197,202,8,24,23,0,
1900,1900,0,122,80,79,9,24,23,0,
1900,1900,0,124,-5,-5,10,24,23,0,
1900,1900,0,119,12,12,11,24,23,0,
1900,1900,0,247,199,201,12,24,23,0,
1900,1900,0,355,408,407,13,24,23,0,
1900,1900,0,337,441,438,14,24,23,0,
1900,1900,0,329,435,439,15,22,23,0,
1900,1900,0,313,412,417,16,22,23,0,
